"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "Vue", "SQL", "comment", "blank", "total"
"d:\project_tech\vis_front\vis_back_demo\data\data.js", "JavaScript", 0, 524, 0, 0, 0, 0, 0, 25, 549
"d:\project_tech\vis_front\vis_back_demo\index.js", "JavaScript", 0, 25, 0, 0, 0, 0, 7, 4, 36
"d:\project_tech\vis_front\vis_back_demo\mock\currentRatio.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
"d:\project_tech\vis_front\vis_back_demo\mock\debtToAssertRatio.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
"d:\project_tech\vis_front\vis_back_demo\mock\dividendYield.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
"d:\project_tech\vis_front\vis_back_demo\mock\inventoryTurnover.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
"d:\project_tech\vis_front\vis_back_demo\mock\netAssertReturnRate.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
"d:\project_tech\vis_front\vis_back_demo\mock\netProfitGrowthRate.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
"d:\project_tech\vis_front\vis_back_demo\mock\netProfitMargin.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
"d:\project_tech\vis_front\vis_back_demo\mock\one.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 11
"d:\project_tech\vis_front\vis_back_demo\mock\priceBookRatio.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
"d:\project_tech\vis_front\vis_back_demo\mock\priceEarningsRatio.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
"d:\project_tech\vis_front\vis_back_demo\mock\priceSalesRatio.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
"d:\project_tech\vis_front\vis_back_demo\mock\quickRatio.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 44
"d:\project_tech\vis_front\vis_back_demo\mock\receivablesTurnover.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 1, 45
